GLPSOL: GLPK LP/MIP Solver, v4.65
Parameter(s) specified in the command line:
 --log result\single-year-20221017T1602\scenario_base.log --write C:\Users\MOUADH~1\AppData\Local\Temp\tmpz8yhaaej.glpk.raw
 --wglp C:\Users\MOUADH~1\AppData\Local\Temp\tmpoe0hsaig.glpk.glp --cpxlp
 C:\Users\MOUADH~1\AppData\Local\Temp\tmpc4re0y9j.pyomo.lp
Reading problem data from 'C:\Users\MOUADH~1\AppData\Local\Temp\tmpc4re0y9j.pyomo.lp'...
200985 rows, 225794 columns, 765714 non-zeros
1594477 lines were read
Writing problem data to 'C:\Users\MOUADH~1\AppData\Local\Temp\tmpoe0hsaig.glpk.glp'...
1296994 lines were written
GLPK Simplex Optimizer, v4.65
200985 rows, 225794 columns, 765714 non-zeros
Preprocessing...
153079 rows, 185053 columns, 631866 non-zeros
Scaling...
 A: min|aij| =  1.229e-04  max|aij| =  1.217e+01  ratio =  9.899e+04
GM: min|aij| =  2.204e-01  max|aij| =  4.538e+00  ratio =  2.059e+01
EQ: min|aij| =  4.857e-02  max|aij| =  1.000e+00  ratio =  2.059e+01
Constructing initial basis...
Size of triangular part is 153076
      0: obj =   7.449251125e+11 inf =   2.415e+06 (423)
Perturbing LP to avoid stalling [199]...
    666: obj =   7.566283019e+11 inf =   1.102e+06 (101) 4
    734: obj =   7.593164629e+11 inf =   9.292e-10 (0)
Warning: basis matrix is ill-conditioned (cond = 4.48e+13)
* 67205: obj =   4.475970129e+10 inf =   6.606e-05 (35620) 2
* 67507: obj =   4.461485032e+10 inf =   6.568e-05 (36690) 2
* 67860: obj =   4.446100100e+10 inf =   6.526e-05 (36259) 3
* 68179: obj =   4.432515611e+10 inf =   3.446e-05 (35822) 2
* 68504: obj =   4.420168450e+10 inf =   6.979e-05 (33329) 2
* 68856: obj =   4.407307029e+10 inf =   6.958e-05 (34980) 3
* 69193: obj =   4.395706844e+10 inf =   6.940e-05 (41904) 2
* 69525: obj =   4.382588865e+10 inf =   3.483e-05 (33683) 2
* 69865: obj =   4.370419474e+10 inf =   3.403e-05 (36349) 3
* 70184: obj =   4.353863766e+10 inf =   3.386e-05 (34710) 2
* 70501: obj =   4.340512015e+10 inf =   3.313e-05 (36638) 2
* 70852: obj =   4.327864263e+10 inf =   3.244e-05 (40781) 3
* 71166: obj =   4.312875875e+10 inf =   3.555e-05 (37123) 2
* 71510: obj =   4.302838323e+10 inf =   3.725e-05 (36931) 3
* 71948: obj =   4.293499383e+10 inf =   3.862e-05 (41236) 2
* 72289: obj =   4.288246161e+10 inf =   4.486e-05 (34180) 2
* 72608: obj =   4.271427306e+10 inf =   4.533e-05 (36801) 3
* 72950: obj =   4.246085549e+10 inf =   4.519e-05 (35857) 2
* 73269: obj =   4.228262445e+10 inf =   5.222e-05 (35623) 3
* 73598: obj =   4.214018331e+10 inf =   5.130e-05 (32883) 2
* 73933: obj =   4.193426282e+10 inf =   5.138e-05 (33406) 2
* 74230: obj =   4.171720543e+10 inf =   5.165e-05 (31879) 3
* 74558: obj =   4.149381271e+10 inf =   5.214e-05 (34602) 2
* 74898: obj =   4.134116180e+10 inf =   5.152e-05 (33920) 2
* 75201: obj =   4.117541752e+10 inf =   5.084e-05 (32352) 2
* 75532: obj =   4.101350452e+10 inf =   4.465e-05 (36912) 3
* 75867: obj =   4.089270656e+10 inf =   4.490e-05 (33146) 2
* 76177: obj =   4.075636597e+10 inf =   7.440e-05 (32427) 3
* 76503: obj =   4.058836921e+10 inf =   7.435e-05 (36509) 2
* 76817: obj =   4.040682191e+10 inf =   7.490e-05 (31671) 2
